url,status,last_updated
https://github.com/Microchip-MPLAB-Harmony,failed,2025-11-06T16:47:58.872660
https://github.com/RTEMS/rtems,success,2025-11-06T16:48:07.156121
https://github.com/seL4/seL4,success,2025-11-06T16:48:09.927739
https://github.com/ChibiOS/ChibiOS,success,2025-11-06T16:48:22.482059
https://github.com/ecos-rtos/ecos,success,2025-11-06T16:48:34.023876
https://github.com/alexeyklimov/tnkernel,failed,2025-11-06T16:52:38.814942
https://github.com/weston-embedded/uC-OS3,success,2025-11-06T16:52:43.273849
https://github.com/weston-embedded/uC-OS2,success,2025-11-06T16:52:46.015766
https://github.com/FreeRTOS/FreeRTOS-Plus-TCP,success,2025-11-06T16:52:48.908952
https://github.com/coocox/CoOS,success,2025-11-06T16:52:51.578638
https://github.com/eerimoq/simba,success,2025-11-06T16:52:55.332077
https://github.com/LiteOS/LiteOS,success,2025-11-06T16:53:03.058637
https://github.com/Tencent/TencentOS-tiny/tree/master/doc,failed,2025-11-06T16:53:05.590913
https://github.com/Tencent/TencentOS-tiny,success,2025-11-06T16:53:07.864786
https://github.com/alibaba/AliOS-Things/wiki,failed,2025-11-06T16:53:10.751817
https://github.com/alibaba/AliOS-Things,success,2025-11-06T16:54:08.828153
https://github.com/jerryscript-project/jerryscript,success,2025-11-06T16:54:12.122769
https://github.com/FreeRTOS/FreeRTOS,exists,2025-11-06T16:54:14.126682
https://github.com/ARM-software/CMSIS_5,exists,2025-11-06T16:54:16.130764
https://github.com/kelvinlawson/atomthreads,success,2025-11-06T16:54:19.674918
https://github.com/arduino/Arduino,success,2025-11-06T16:54:24.552152
https://github.com/platformio/platformio-core,success,2025-11-06T16:54:27.010458
https://github.com/drone-os/drone-core,success,2025-11-06T16:54:29.376335
https://github.com/tock/tock,success,2025-11-06T16:54:33.132651
https://github.com/oxidecomputer/hubris/blob/master/README.md,failed,2025-11-06T16:54:35.613685
https://github.com/oxidecomputer/hubris/tree/master/doc,failed,2025-11-06T16:54:38.048653
https://github.com/oxidecomputer/hubris,success,2025-11-06T16:54:42.413215
https://github.com/nxp-mcuxpresso/mcux-sdk,exists,2025-11-06T16:54:44.517504
https://github.com/renesas/fsp,exists,2025-11-06T16:54:46.567530
